,Samuel L. Jackson,Morgan Freeman,Bruce Willis,Robert De Niro,Matt Damon,Owen Wilson,Johnny Depp,Liam Neeson,Brad Pitt,Nicolas Cage,Stanley Tucci,Frank Welker,George Clooney,Cate Blanchett,Editor,Producer,crew_num,cast_num,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Zemeckis,Martin Scorsese,Tim Burton,Michael Bay,Renny Harlin,Robert Rodriguez,Steven Soderbergh,budget,Drama,Action,Comedy,Thriller,Adventure,genres_num,duringcreditsstinger,based on novel,aftercreditsstinger,dystopia,3d,violence,woman director,murder,original_en,Warner Bros.,Universal Pictures,Paramount Pictures,Twentieth Century Fox Film Corporation,Columbia Pictures,New Line Cinema,Relativity Media,Walt Disney Pictures,com_num,United States of America,United Kingdom,Germany,France,Canada,Australia,runtime,English,Français,month
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,159,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,130.0,1,0,3
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,102,65,0,0,0,0,0,0,0,0,0,0,200,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,142.0,1,0,4
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,23,0,0,0,0,0,0,0,0,0,0,170,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,125.0,1,0,12
40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,40,47,0,0,0,0,0,0,0,0,0,0,200,0,0,1,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,106.0,1,1,6
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,23,0,0,0,0,0,0,0,0,0,0,200,0,1,0,1,1,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,114.0,1,0,6
42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,38,45,0,0,0,0,0,0,0,0,0,0,200,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,103.0,1,0,6
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,55,15,0,0,0,0,0,0,0,0,0,0,200,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,1,1,0,0,0,115.0,1,0,5
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,98,52,0,0,0,0,0,0,0,0,0,0,190,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,137.0,1,0,4
45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,31,22,0,0,0,0,0,0,0,0,0,0,200,1,1,0,1,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,116.0,1,0,6
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,86,65,0,0,0,0,0,0,0,0,0,0,250,0,1,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,131.0,1,0,5
